report_number,occur_date,location,ucr_literal,neighborhood,latitude,longitude
150591311,2015-02-28,3020 DELMAR LN NW,BURGLARY-RESIDENCE,Stratford,33.75527,-84.48577
150591531,2015-02-28,3378 GREENBRIAR PKWY SW,BURGLARY-RESIDENCE,None,33.682990000000004,-84.50128999999998
150592618,2015-02-28,2020 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.809909999999995,-84.39360999999998
150592093,2015-02-28,2980 DELMAR LN NW,ROBBERY-PEDESTRIAN,Stratford,33.75509,-84.48491
150602085,2015-03-01,3049 MIDDLETON RD NW,AGG ASSAULT,None,33.75389000000001,-84.48959
150600928,2015-03-01,2089 COUNTY LINE RD SW,LARCENY-NON VEHICLE,None,33.698,-84.536
150602004,2015-03-01,2277 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81595,-84.39050999999998
150601871,2015-03-01,4355 CELEBRATION DR SW,BURGLARY-RESIDENCE,None,33.72209,-84.52662999999998
150611668,2015-03-02,1680 WESTVIEW DR SW,LARCENY-FROM VEHICLE,Westview,33.74641,-84.44217999999998
150622694,2015-03-03,3144 MARTIN L KING JR DR SW,AUTO THEFT,None,33.75104,-84.48919999999998
